author,rank,rating,score,title,votes
Margaret Atwood,1,"4.09 avg rating — 1,101,568 ratings","score: 30,733",The Handmaid's Tale,314 people voted
Suzanne Collins,2,"4.33 avg rating — 5,741,857 ratings","score: 28,553","The Hunger Games (The Hunger Games, #1)",292 people voted
Mary Wollstonecraft Shelley,3,"3.78 avg rating — 1,023,245 ratings","score: 21,909",Frankenstein,224 people voted
Madeleine L'Engle,4,"4.01 avg rating — 902,852 ratings","score: 18,720","A Wrinkle in Time (Time Quintet, #1)",196 people voted
Ursula K. Le Guin,5,"4.06 avg rating — 98,748 ratings","score: 17,920",The Left Hand of Darkness (Hainish Cycle #4),184 people voted
Veronica Roth,6,"4.21 avg rating — 2,602,296 ratings","score: 13,326","Divergent (Divergent, #1)",138 people voted
Suzanne Collins,7,"4.29 avg rating — 2,200,427 ratings","score: 12,749","Catching Fire (The Hunger Games, #2)",133 people voted
Lois Lowry,8,"4.12 avg rating — 1,534,799 ratings","score: 12,399","The Giver (The Giver, #1)",129 people voted
Octavia E. Butler,9,"4.23 avg rating — 72,295 ratings","score: 11,070",Kindred,116 people voted
Ursula K. Le Guin,10,"4.21 avg rating — 71,617 ratings","score: 10,731",The Dispossessed (Hainish Cycle #6),112 people voted
Margaret Atwood,11,"4.01 avg rating — 197,737 ratings","score: 10,117","Oryx and Crake (MaddAddam, #1)",107 people voted
Suzanne Collins,12,"4.03 avg rating — 2,071,712 ratings","score: 9,807","Mockingjay (The Hunger Games, #3)",104 people voted
Audrey Niffenegger,13,"3.96 avg rating — 1,446,554 ratings","score: 9,193",The Time Traveler's Wife,98 people voted
Connie Willis,14,"4.03 avg rating — 43,246 ratings","score: 8,935","Doomsday Book (Oxford Time Travel, #1)",96 people voted
Ursula K. Le Guin,15,"4.11 avg rating — 43,979 ratings","score: 7,775",The Lathe of Heaven,84 people voted
Ann Leckie,16,"3.98 avg rating — 66,175 ratings","score: 7,336",Ancillary Justice (Imperial Radch #1),81 people voted
Lois McMaster Bujold,17,"4.11 avg rating — 25,864 ratings","score: 7,017","Shards of Honour  (Vorkosigan Saga, #1)",75 people voted
Connie Willis,18,"4.13 avg rating — 29,639 ratings","score: 6,890","To Say Nothing of the Dog (Oxford Time Travel, #2)",74 people voted
Mary Doria Russell,19,"4.17 avg rating — 52,728 ratings","score: 6,873","The Sparrow (The Sparrow, #1)",72 people voted
Anne McCaffrey,20,"4.10 avg rating — 116,144 ratings","score: 6,802","Dragonflight (Dragonriders of Pern, #1)",74 people voted
Octavia E. Butler,21,"4.16 avg rating — 42,215 ratings","score: 6,653","Parable of the Sower (Earthseed, #1)",71 people voted
Lois McMaster Bujold,22,"4.29 avg rating — 20,950 ratings","score: 6,087","The Warrior's Apprentice (Vorkosigan Saga, #2)",65 people voted
Lois McMaster Bujold,23,"4.31 avg rating — 22,106 ratings","score: 5,623","Barrayar (Vorkosigan Saga, #7)",60 people voted
Stephenie Meyer,24,"3.84 avg rating — 828,920 ratings","score: 5,274","The Host (The Host, #1)",56 people voted
Veronica Roth,25,"4.05 avg rating — 1,045,701 ratings","score: 4,899","Insurgent (Divergent, #2)",54 people voted
Lois McMaster Bujold,26,"4.45 avg rating — 13,944 ratings","score: 4,682","Memory (Vorkosigan Saga, #10)",51 people voted
P.D. James,27,"3.68 avg rating — 36,097 ratings","score: 4,484",The Children of Men,49 people voted
G.S. Jennsen,28,"3.91 avg rating — 2,144 ratings","score: 4,394","Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",45 people voted
Margaret Atwood,29,"4.06 avg rating — 92,204 ratings","score: 4,343","The Year of the Flood  (MaddAddam, #2)",47 people voted
Anne McCaffrey,30,"4.09 avg rating — 17,772 ratings","score: 4,235","Crystal Singer (Crystal Singer, #1)",47 people voted
Lois McMaster Bujold,31,"4.33 avg rating — 17,324 ratings","score: 4,120","Mirror Dance (Vorkosigan Saga, #8)",47 people voted
Octavia E. Butler,32,"4.33 avg rating — 12,567 ratings","score: 4,108","Lilith's Brood (Xenogenesis, #1-3)",47 people voted
Lois McMaster Bujold,33,"4.28 avg rating — 18,975 ratings","score: 3,895","The Vor Game (Vorkosigan Saga, #6)",46 people voted
Octavia E. Butler,34,"4.21 avg rating — 14,424 ratings","score: 3,842","Wild Seed (Patternmaster, #1)",43 people voted
Madeleine L'Engle,35,"4.04 avg rating — 106,031 ratings","score: 3,700","A Wind in the Door (Time Quintet, #2)",42 people voted
Lois McMaster Bujold,36,"4.43 avg rating — 14,488 ratings","score: 3,683","A Civil Campaign (Vorkosigan Saga, #12)",43 people voted
Lois McMaster Bujold,37,"4.21 avg rating — 13,271 ratings","score: 3,653","Brothers in Arms (Vorkosigan Saga, #5)",43 people voted
Lois McMaster Bujold,38,"4.17 avg rating — 14,824 ratings","score: 3,618","Cetaganda (Vorkosigan Saga, #9)",43 people voted
Joan D. Vinge,39,"3.95 avg rating — 11,142 ratings","score: 3,535","The Snow Queen (The Snow Queen Cycle, #1)",43 people voted
Marissa Meyer,40,"4.15 avg rating — 582,657 ratings","score: 3,440","Cinder (The Lunar Chronicles, #1)",38 people voted
C.J. Cherryh,41,"3.91 avg rating — 12,106 ratings","score: 3,381","Downbelow Station (The Company Wars, #1)",40 people voted
Anne McCaffrey,42,"4.01 avg rating — 21,157 ratings","score: 3,361","The Ship Who Sang (Brainship, #1)",39 people voted
Deborah O'Neill Cordes,43,3.81 avg rating — 194 ratings,"score: 3,340","Dragon Dawn (Dinosaurian Time Travel, #1)",34 people voted
Anne McCaffrey,44,"4.25 avg rating — 43,805 ratings","score: 3,092","Dragonsong (Harper Hall, #1)",36 people voted
Lois McMaster Bujold,45,"3.83 avg rating — 16,009 ratings","score: 3,054","Falling Free (Vorkosigan Saga, #4)",37 people voted
Lois McMaster Bujold,46,"3.76 avg rating — 11,387 ratings","score: 2,904","Ethan of Athos (Vorkosigan Saga, #3)",36 people voted
Madeleine L'Engle,47,"4.11 avg rating — 95,079 ratings","score: 2,831","A Swiftly Tilting Planet (Time Quintet, #3)",32 people voted
Octavia E. Butler,48,"4.12 avg rating — 22,763 ratings","score: 2,755","Dawn (Xenogenesis, #1)",32 people voted
Lois McMaster Bujold,49,"4.30 avg rating — 12,905 ratings","score: 2,579","Komarr (Vorkosigan Saga, #11)",31 people voted
C.J. Cherryh,50,"3.94 avg rating — 7,155 ratings","score: 2,547","Foreigner (Foreigner, #1)",30 people voted
Kate Wilhelm,51,"3.87 avg rating — 8,278 ratings","score: 2,535",Where Late the Sweet Birds Sang,30 people voted
Nancy Kress,52,"3.94 avg rating — 6,810 ratings","score: 2,526","Beggars in Spain (Sleepless, #1)",30 people voted
James Tiptree Jr.,53,"4.21 avg rating — 3,311 ratings","score: 2,524",Her Smoke Rose Up Forever,29 people voted
Tanith Lee,54,"4.03 avg rating — 3,384 ratings","score: 2,504","The Silver Metal Lover (Silver Metal Lover, #1)",29 people voted
Lois McMaster Bujold,55,"4.37 avg rating — 11,640 ratings","score: 2,498","Cordelia's Honor (Vorkosigan Omnibus, #1)",31 people voted
C.J. Cherryh,56,"3.92 avg rating — 5,909 ratings","score: 2,469",The Pride of Chanur (Chanur #1),31 people voted
Emily St. John Mandel,57,"4.03 avg rating — 253,691 ratings","score: 2,450",Station Eleven,28 people voted
C.J. Cherryh,58,"really liked it 4.00 avg rating — 9,283 ratings","score: 2,316","Cyteen (Cyteen, #1-3)",30 people voted
Lois McMaster Bujold,59,"4.24 avg rating — 8,709 ratings","score: 2,306",Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),29 people voted
Lucinda   Davis,60,4.76 avg rating — 118 ratings,"score: 2,300",Goose Island,23 people voted
