internet,popularity,title,year
http://www.metrolyrics.com/9-dream-lyrics-rem.html,width:6%;,#9 Dream Lyrics,2007
http://www.metrolyrics.com/1000000-lyrics-rem.html,width:6%;,"1,000,000 Lyrics",2006
http://www.metrolyrics.com/11-lyrics-rem.html,width:6%;,11 Lyrics,2007
http://www.metrolyrics.com/11th-untitled-song-lyrics-rem.html,width:6%;,11th Untitled Song Lyrics,2006
http://www.metrolyrics.com/7-chinese-brothers-lyrics-rem.html,width:6%;,7 Chinese Brothers Lyrics,2007
http://www.metrolyrics.com/99-lyrics-rem.html,width:6%;,9-9 Lyrics,2006
http://www.metrolyrics.com/a-girl-like-you-lyrics-rem.html,width:6%;,A Girl Like You Lyrics,2006
http://www.metrolyrics.com/a-month-of-saturdays-lyrics-rem.html,width:6%;,A Month Of Saturdays Lyrics,2011
http://www.metrolyrics.com/academy-fight-song-lyrics-rem.html,width:6%;,Academy Fight Song Lyrics,2006
http://www.metrolyrics.com/accelerate-lyrics-rem.html,width:6%;,Accelerate Lyrics,2008
http://www.metrolyrics.com/action-lyrics-rem.html,width:6%;,Action Lyrics,2006
http://www.metrolyrics.com/aftermath-lyrics-rem.html,width:6%;,Aftermath Lyrics,2004
http://www.metrolyrics.com/ages-of-you-lyrics-rem.html,width:6%;,Ages Of You Lyrics,2006
http://www.metrolyrics.com/airportman-lyrics-rem.html,width:6%;,Airportman Lyrics,2006
http://www.metrolyrics.com/all-i-have-to-do-is-dream-lyrics-rem.html,width:6%;,"All I Have To Do Is, Dream Lyrics",2006
http://www.metrolyrics.com/all-the-best-lyrics-rem.html,width:6%;,All The Best Lyrics,2011
http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,width:13.726078121136%;,All The Right Friends Lyrics,2003
http://www.metrolyrics.com/all-the-way-to-reno-lyrics-rem.html,width:6%;,All the Way to Reno Lyrics,2003
http://www.metrolyrics.com/all-the-way-to-reno-youre-gonna-be-a-star-lyrics-rem.html,width:6%;,All The Way To Reno (You're Gonna Be A Star) Lyrics,2006
http://www.metrolyrics.com/alligator-aviator-autopilot-antimatter-lyrics-rem.html,width:6%;,Alligator Aviator Autopilot Antimatter Lyrics,2011
http://www.metrolyrics.com/andy-gets-fired-lyrics-rem.html,width:6%;,Andy Gets Fired Lyrics,2008
http://www.metrolyrics.com/animal-lyrics-rem.html,width:13.726078121136%;,Animal Lyrics,2003
http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,width:13.726078121136%;,Arms Of Love Lyrics,2006
http://www.metrolyrics.com/around-the-sun-lyrics-rem.html,width:6%;,Around The Sun Lyrics,2004
http://www.metrolyrics.com/at-my-most-beautiful-lyrics-rem.html,width:6%;,At My Most Beautiful Lyrics,2003
http://www.metrolyrics.com/at-my-most-beautifull-lyrics-rem.html,width:6%;,At My Most Beautifull Lyrics,2006
http://www.metrolyrics.com/auctioneer-lyrics-rem.html,width:6%;,Auctioneer Lyrics,2006
http://www.metrolyrics.com/auctioneer-another-engine-lyrics-rem.html,width:6%;,Auctioneer (another Engine) Lyrics,2006
http://www.metrolyrics.com/aaberlin-lyrics-rem.html,width:6%;,ÃœBerlin Lyrics,2011
http://www.metrolyrics.com/baby-baby-lyrics-rem.html,width:6%;,Baby Baby Lyrics,2006
http://www.metrolyrics.com/baby-i-lyrics-rem.html,width:6%;,"Baby, I Lyrics",2006
http://www.metrolyrics.com/bad-day-lyrics-rem.html,width:35.481397225105%;,Bad Day Lyrics,2003
http://www.metrolyrics.com/bandwagon-lyrics-rem.html,width:6%;,Bandwagon Lyrics,2006
http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,width:27.452156242272%;,Bang And Blame Lyrics,2006
http://www.metrolyrics.com/be-mine-lyrics-rem.html,width:6%;,Be Mine Lyrics,2006
http://www.metrolyrics.com/beach-ball-lyrics-rem.html,width:6%;,Beach Ball Lyrics,2006
http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,width:21.755319103969%;,Beat A Drum Lyrics,2014
http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,width:27.452156242272%;,Begin The Begin Lyrics,2011
http://www.metrolyrics.com/belong-lyrics-rem.html,width:6%;,Belong Lyrics,2014
http://www.metrolyrics.com/binky-the-doormat-lyrics-rem.html,width:6%;,Binky The Doormat Lyrics,2006
http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,width:27.452156242272%;,Bittersweet Me Lyrics,2006
http://www.metrolyrics.com/blue-lyrics-rem.html,width:6%;,Blue Lyrics,2011
http://www.metrolyrics.com/body-count-lyrics-rem.html,width:6%;,Body Count Lyrics,2006
http://www.metrolyrics.com/burning-down-lyrics-rem.html,width:6%;,Burning Down Lyrics,2006
http://www.metrolyrics.com/burning-hell-lyrics-rem.html,width:6%;,Burning Hell Lyrics,2006
http://www.metrolyrics.com/camera-lyrics-rem.html,width:13.726078121136%;,Camera Lyrics,2006
http://www.metrolyrics.com/cant-get-there-from-here-lyrics-rem.html,width:6%;,Can't Get There From Here Lyrics,2006
http://www.metrolyrics.com/carnival-of-sorts-lyrics-rem.html,width:6%;,Carnival of Sorts Lyrics,2006
http://www.metrolyrics.com/carnival-of-sorts-box-cars-lyrics-rem.html,width:6%;,Carnival Of Sorts (box Cars) Lyrics,2006
