is_suspicious,CDESCR
0,"ALTHOUGH I LOVED THE CAR OVERALL AT THE TIME I DECIDED TO OWN, , MY DREAM CAR CADILLAC CTS HAS TURNED INTO MY DREAM NIGHTMARE. CADILLAC CTS 3.6  2008        WHEN I GET ON IT A LITTLE BIT ACCELERATION IT MAKES A SOUND THAT SOUNDS LIKE ALL AIR LEAKS INSIDE THE CAR. THE DEALER WAS REPORTED EVER SINCE MY FIRST EARLY VISIT TO SERVICE CENTER BUT IT'S ONLY DURING MY LAST VISIT TO THE DEALER THEY MENTIONED GM HAS SANCTIONED APPROVAL IE.  AT THE TIME THE ODOMETER READS 65000KM? STRANGE!  THE DOOR LOCKS ARE TERRIBLE?DESPITE RECTIFYING; TIME AND AGAIN BY YOUR DEALER THE PROBLEM STILL PERSIST TO DATE.  SAFETY HAZARD INDEED.   THE COMPUTER HAD ERROR AS FOR TYRE  LOW AIR PRESSURE   VERY BAD ON SAFETY STANDARDS.  ON 12TH AUG  2012  WHILE I WAS EN-ROUTE TO THE CADILLAC SERVICE CENTER  THE VEHICLE HAD A BREAK DOWN. ON THE DISPLAY SCREEN NEAR ODOMETER IT DISPLAYED ENGINE TEMPERATURE TOO HIGH ?.  DUE TO THIS I HAD TO PULL THE CAR TOWARDS SAFETY AND GOT STRANDED IN THE MIDDLE OF THE ROAD UNDER THE HOT SUN.  HOW CAN YOU JUSTIFY A CAR WHICH IS REGULARLY MAINTAINED BY YOUR AUTHORIZED AGENCY AT REGULAR PERIODIC INTERVALS TO HAVE SUCH A FATE?     I FELT IT WAS GOOD TO HAVE IT SERVICED DURING MY ABSENCE IN TOWN BEFORE THE REGULAR KM INTERVAL; BUT, ONLY TO GET STRANDED ON THE ROAD IN THE HOT SUN. IT IS INDEED, TOO MUCH TO SUFFER AFTER BUYING A CAR OF GM FLAGSHIP BRAND < CADILLAC > AND SUFFER AGONY ON THE ROAD SIDE.  NOT TO MENTION THE DEALERSHIPS WARRANTY YOU PROVIDE WITH THE PURCHASE OF THE NEW CAR FROM YOUR AUTHORIZED AGENTS, PROBABLY DON'T FIX ANYTHING WITH THE WARRANTY SERVICE PROGRAM. IF THE JOB WAS RIGHT THEN THE ENGINE SHOULD NOT HAVE OVER HEATED ESPECIALLY WHEN THE CAR IS JUST RUN 71000 KMS. APPROX...  *TR"
0,"CONSUMER SHUT SLIDING DOOR WHEN ALL POWER LOCKS ON ALL DOORS LOCKED BY ITSELF, TRAPPING INFANT INSIDE THE VEHICLE.  VEHICLE WAS RUNNING AT THE TIME.  *AK"
0,DRIVERS SEAT BACK COLLAPSED AND BENT WHEN REAR ENDED. PLEASE DESCRIBE DETAILS.  TT
0,"TL* THE CONTACT OWNS A 2009 NISSAN ALTIMA. THE CONTACT STATED THAT THE START BUTTON FOR THE IGNITION WOULD NOT START THE VEHICLE. THE STEERING LOCK LIGHT ILLUMINATED ON THE INSTRUMENT PANEL WHEN THE FAILURE OCCURRED. THE VEHICLE WAS TOWED TO THE DEALER WHO STATED THE STEERING LOCK NEEDED TO BE REPLACED. THE DEALER RESPONDED AS IF THIS WAS AN ISOLATED ISSUE. THE VEHICLE WAS REPAIRED. THE FAILURE MILEAGE AND CURRENT MILEAGE WAS  57,915.    UPDATED 3/28/13 *CN  UPDATED 05/10/2013 *JS"
0,THE FRONT MIDDLE SEAT DOESN'T LOCK IN PLACE.  *AK
0,I HAVE A 2005 CHEVROLET IMPALA AND THE SPEEDOMETER IS NOT WORKING PROPERLY.  I'VE CHECKED NHTSA COMPLAINTS AND FIND OVER AND OVER THIS SAME COMPLAINT BUT WAS TOLD BY A CHEVROLET DEALERSHIP THIS WAS NOT A RECALL.  WITH THE NUMBER OF COMPLAINTS FILED THIS SHOULD BE A RECALL BY CHEVROLET INSTEAD OF MAKING THE CONSUMER PAY FOR THE REPAIRS.  IN LIGHT OF RECENT TOYOTA RECALLS I WOULD THINK CHEVROLET WOULD TAKE SIMILAR ACTION FOR THIS DEFECT IN THEIR AUTOMOBILES. *TR
0,"WIFE WAS TAKING KIDS TO AN AIR SHOW. WHILE MERGING INTO TRAFFIC ON I95 THE CAR WOULD NOT SHIFT OUT OF GEAR AT 40 MILES PER HOUR.   THE CAR BEGAN TO SHAKE, SHUDDER AND PRODUCE LOUD NOISES.   MY WIFE HAD TO PULL THE CAR OUT THE TRAFFIC ONTO THE SIDE OF THE ROAD.   SHE WAS ABLE TO SAFELY EXIT I95 AT THE NEXT EXIT.  SINCE THEN THE CAR HAS BEEN DIAGNOSED WITH COMPLETE TRANSMISSION FAILURE.  *TR"
0,"WHEN BACKING OUT OF A PARKING SPACE A LUXURY SUV APPEARED FROM ONE SIDE, REQUIRING ME TO STOP SUDDENLY.  HOWEVER, WHEN I PRESSED DOWN ON THE BRAKE PEDAL (ALL THE WAY TO THE FLOOR), THE BRAKES SEEMED VERY HESITANT TO RESPOND, EVEN WITH ABS.  THANKFULLY THE CAR DID STOP IN TIME.  I HAVE HEARD MANY COMPLAINTS ABOUT THE BRAKES AND HAVE ALSO NOTICED EXCESSIVE BRAKE DUST AND A FEW GROOVES IN THE DISCS/ROTORS IN THE REAR AFTER ONLY 1000 MILES.*AK"
0,"DURING OPERATION OF  VEHICLE RIGHT-FRONT BRAKE CALIPER WOULD STICK, CAUSING DAMAGE TO  BRAKE ROTORS AND PADS.   DEALERSHIP HAS EXAMINED  VEHICLE, AND REPLACED BOTH  CALIPERS AND  ROTORS.  PLEASE PROVIDE ANY ADDITIONAL INFORMATION / ATTACHMENTS.*AK"
0,"THE SEAT BACK, TRANSFER CASE, AND WINDSHIELD WIPER MOTOR ALL FAILED. *AK *CB   THE PARKING BRAKE WAS ADJUSTED, THE AIR CONDITION BLEW WARM AIR, AND THE OIL COOLER LINES WERE REPLACED.*JB "
